

Inorder traversal of the Parse Tree:

Node                      Token                     ID                        L-Child                   R-Child                  
192                       IDENTIFIER                dres                      191                       NULL                     
195                       assignment_tmp            (null)                    190                       192                      
193                       DCONSTANT                 0.0d0                     NULL                      NULL                     
194                       opt_assignment            (null)                    193                       NULL                     
196                       assignment                (null)                    195                       194                      
197                       statement_list            (null)                    188                       196                      
198                       variable                  i                         NULL                      NULL                     
199                       ICONSTANT                 1                         NULL                      NULL                     
200                       assignment_tmp            (null)                    198                       199                      
201                       assignment                (null)                    200                       NULL                     
202                       variable                  i                         NULL                      NULL                     
203                       variable                  s1                        NULL                      NULL                     
204                       LT                        (null)                    202                       203                      
228                       tmp1                      (null)                    201                       204                      
205                       variable                  i                         NULL                      NULL                     
206                       INC                       (null)                    205                       NULL                     
207                       variable                  i                         NULL                      NULL                     
208                       IDENTIFIER                dres                      207                       NULL                     
209                       variable                  i                         NULL                      NULL                     
210                       IDENTIFIER                drhs                      209                       NULL                     
211                       DCONSTANT                 2.0                       NULL                      NULL                     
212                       variable                  i                         NULL                      NULL                     
213                       IDENTIFIER                dsoln                     212                       NULL                     
214                       MULTIPLY                  (null)                    211                       213                      
215                       MINUS                     (null)                    210                       214                      
216                       variable                  i                         NULL                      NULL                     
217                       ICONSTANT                 1                         NULL                      NULL                     
218                       MINUS                     (null)                    216                       217                      
219                       IDENTIFIER                dsoln                     218                       NULL                     
220                       PLUS                      (null)                    215                       219                      
221                       variable                  i                         NULL                      NULL                     
222                       ICONSTANT                 1                         NULL                      NULL                     
223                       PLUS                      (null)                    221                       222                      
224                       IDENTIFIER                dsoln                     223                       NULL                     
225                       PLUS                      (null)                    220                       224                      
226                       assignment_tmp            (null)                    208                       225                      
227                       assignment                (null)                    226                       NULL                     
229                       tmp2                      (null)                    206                       227                      
230                       do_stmt                   (null)                    228                       229                      
231                       statement_list            (null)                    197                       230                      
232                       procedure                 residuals                 184                       231                      
233                       function_list             (null)                    160                       232                      
234                       data_type                 double                    NULL                      NULL                     
235                       data_type                 int                       NULL                      NULL                     
236                       variable                  iters                     NULL                      NULL                     
237                       param                     (null)                    235                       236                      
238                       data_type                 double                    NULL                      NULL                     
239                       IDENTIFIER                dsoln                     NULL                      NULL                     
240                       param                     (null)                    238                       239                      
241                       data_type                 int                       NULL                      NULL                     
242                       variable                  s1                        NULL                      NULL                     
243                       param                     (null)                    241                       242                      
244                       data_type                 double                    NULL                      NULL                     
245                       IDENTIFIER                drhs                      NULL                      NULL                     
246                       param                     (null)                    244                       245                      
247                       data_type                 int                       NULL                      NULL                     
248                       variable                  rhs1                      NULL                      NULL                     
249                       param                     (null)                    247                       248                      
250                       opt_param_list            (null)                    249                       NULL                     
251                       opt_param_list            (null)                    246                       250                      
252                       opt_param_list            (null)                    243                       251                      
253                       opt_param_list            (null)                    240                       252                      
254                       param_list                (null)                    237                       253                      
256                       variable                  i                         NULL                      NULL                     
257                       variable                  n                         NULL                      NULL                     
258                       ICONSTANT                 1                         NULL                      NULL                     
259                       opt_assignment            (null)                    258                       NULL                     
260                       tmp                       (null)                    259                       NULL                     
261                       opt_declaration           (null)                    257                       260                      
262                       tmp                       (null)                    NULL                      261                      
263                       var_declaration           (null)                    256                       262                      
264                       variable                  n                         NULL                      NULL                     
265                       variable                  iters                     NULL                      NULL                     
266                       LEQ                       (null)                    264                       265                      
267                       variable                  i                         NULL                      NULL                     
268                       ICONSTANT                 1                         NULL                      NULL                     
269                       assignment_tmp            (null)                    267                       268                      
270                       assignment                (null)                    269                       NULL                     
271                       variable                  i                         NULL                      NULL                     
272                       variable                  s1                        NULL                      NULL                     
273                       LT                        (null)                    271                       272                      
295                       tmp1                      (null)                    270                       273                      
274                       variable                  i                         NULL                      NULL                     
275                       INC                       (null)                    274                       NULL                     
276                       variable                  i                         NULL                      NULL                     
277                       IDENTIFIER                dsoln                     276                       NULL                     
278                       variable                  i                         NULL                      NULL                     
279                       IDENTIFIER                drhs                      278                       NULL                     
280                       variable                  i                         NULL                      NULL                     
281                       ICONSTANT                 1                         NULL                      NULL                     
282                       MINUS                     (null)                    280                       281                      
283                       IDENTIFIER                dsoln                     282                       NULL                     
284                       PLUS                      (null)                    279                       283                      
285                       variable                  i                         NULL                      NULL                     
286                       ICONSTANT                 1                         NULL                      NULL                     
287                       PLUS                      (null)                    285                       286                      
288                       IDENTIFIER                dsoln                     287                       NULL                     
289                       PLUS                      (null)                    284                       288                      
290                       expr                      (null)                    289                       NULL                     
291                       DCONSTANT                 2.0d0                     NULL                      NULL                     
292                       DIVIDE                    (null)                    290                       291                      
293                       assignment_tmp            (null)                    277                       292                      
294                       assignment                (null)                    293                       NULL                     
296                       tmp2                      (null)                    275                       294                      
297                       do_stmt                   (null)                    295                       296                      
298                       variable                  n                         NULL                      NULL                     
299                       INCREMENT                 (null)                    298                       NULL                     
300                       statement_list            (null)                    297                       299                      
301                       while_stmt                (null)                    266                       300                      
302                       statement_list            (null)                    263                       301                      
303                       variable                  dsoln                     NULL                      NULL                     
304                       variable                  s1                        NULL                      NULL                     
305                       arg_list                  (null)                    303                       304                      
306                       function_call             error_norm                305                       NULL                     
307                       return_stmt               (null)                    306                       NULL                     
308                       statement_list            (null)                    302                       307                      
309                       tmp                       (null)                    254                       308                      
310                       function                  gauss_seidel              234                       309                      
311                       function_list             (null)                    233                       310                      
312                       data_type                 int                       NULL                      NULL                     
313                       data_type                 double                    NULL                      NULL                     
314                       IDENTIFIER                dfrom                     NULL                      NULL                     
315                       param                     (null)                    313                       314                      
316                       data_type                 int                       NULL                      NULL                     
317                       variable                  f1                        NULL                      NULL                     
318                       param                     (null)                    316                       317                      
319                       data_type                 double                    NULL                      NULL                     
320                       IDENTIFIER                dto                       NULL                      NULL                     
321                       param                     (null)                    319                       320                      
322                       data_type                 int                       NULL                      NULL                     
323                       variable                  t1                        NULL                      NULL                     
324                       param                     (null)                    322                       323                      
325                       opt_param_list            (null)                    324                       NULL                     
326                       opt_param_list            (null)                    321                       325                      
327                       opt_param_list            (null)                    318                       326                      
328                       param_list                (null)                    315                       327                      
329                       data_type                 double                    NULL                      NULL                     
330                       IDENTIFIER                dfrom                     NULL                      NULL                     
331                       param                     (null)                    329                       330                      
332                       data_type                 int                       NULL                      NULL                     
333                       variable                  f1                        NULL                      NULL                     
334                       param                     (null)                    332                       333                      
335                       data_type                 double                    NULL                      NULL                     
336                       IDENTIFIER                dto                       NULL                      NULL                     
337                       param                     (null)                    335                       336                      
